layer,kind,tensor,type,cols,rows,batch,calls,ms
14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,32,4,208.118157
14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,32,4,208.749450
14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,32,4,202.612974
15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,32,4,77.589286
15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,32,4,77.483059
15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,32,4,77.436487
15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,32,4,76.663677
15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,32,4,208.263565
15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,32,4,208.107003
15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,32,4,202.282614
16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,32,4,76.786119
16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,32,4,77.453105
16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,32,4,77.258594
16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,32,4,77.277851
16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,32,4,208.544913
16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,32,4,208.450415
16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,32,4,201.829073
17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,32,4,77.047115
17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,32,4,76.859690
17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,32,4,76.514181
17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,32,4,76.298986
17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,32,4,207.708065
17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,32,4,208.131068
17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,32,4,201.636956
18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,32,4,77.611247
18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,32,4,76.781759
18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,32,4,76.836257
18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,32,4,76.746426
18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,32,4,208.588844
18,ffn_up,blk.18.ffn_up.weight,Q4_0,4096,11008,32,4,207.137934
18,ffn_down,blk.18.ffn_down.weight,Q4_0,11008,4096,32,4,200.180681
19,q_proj,blk.19.attn_q.weight,Q4_0,4096,4096,32,4,77.107205
19,k_proj,blk.19.attn_k.weight,Q4_0,4096,4096,32,4,77.729195
19,v_proj,blk.19.attn_v.weight,Q4_0,4096,4096,32,4,76.875234
19,o_proj,blk.19.attn_output.weight,Q4_0,4096,4096,32,4,76.691500
19,ffn_gate,blk.19.ffn_gate.weight,Q4_0,4096,11008,32,4,208.121929
19,ffn_up,blk.19.ffn_up.weight,Q4_0,4096,11008,32,4,207.659528
