phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,31,v_proj,blk.31.attn_v.weight,Q4_0,4096,4096,32,4,106.461985
prefill,31,o_proj,blk.31.attn_output.weight,Q4_0,4096,4096,32,4,106.933319
prefill,31,ffn_gate,blk.31.ffn_gate.weight,Q4_0,4096,11008,32,4,274.956581
prefill,31,ffn_up,blk.31.ffn_up.weight,Q4_0,4096,11008,32,4,278.177404
prefill,31,ffn_down,blk.31.ffn_down.weight,Q4_0,11008,4096,32,4,275.399617
prefill,-1,output,output.weight,Q6_K,4096,32000,1,1,412.785656
decode,0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,1,16,14.925456
decode,0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,1,16,14.438409
decode,0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,1,16,14.480479
decode,0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,1,16,14.953733
decode,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,1,16,38.827338
decode,0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,1,16,38.597318
decode,0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,1,16,39.756174
decode,1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,1,16,14.413400
decode,1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,1,16,14.384958
decode,1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,1,16,14.472243
decode,1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,1,16,14.840497
decode,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,1,16,38.531796
decode,1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,1,16,38.695901
decode,1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,1,16,39.794907
decode,2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,1,16,14.507382
decode,2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,1,16,14.443756
decode,2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,1,16,14.434993
decode,2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,1,16,14.931465
decode,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,1,16,38.809508
decode,2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,1,16,38.685862
decode,2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,1,16,39.564374
decode,3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,1,16,14.508038
decode,3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,1,16,14.388878
