layer,kind,tensor,type,cols,rows,batch,calls,ms
16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,32,4,108.212665
16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,32,4,289.213225
16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,32,4,289.865924
16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,32,4,286.843151
17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,32,4,104.778266
17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,32,4,107.003238
17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,32,4,106.704016
17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,32,4,107.489103
17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,32,4,288.936372
17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,32,4,290.989547
17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,32,4,288.261764
18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,32,4,106.105529
18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,32,4,107.893606
18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,32,4,108.495237
18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,32,4,109.764558
18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,32,4,287.236474
18,ffn_up,blk.18.ffn_up.weight,Q4_0,4096,11008,32,4,284.451244
18,ffn_down,blk.18.ffn_down.weight,Q4_0,11008,4096,32,4,289.967990
19,q_proj,blk.19.attn_q.weight,Q4_0,4096,4096,32,4,107.397192
19,k_proj,blk.19.attn_k.weight,Q4_0,4096,4096,32,4,107.403192
19,v_proj,blk.19.attn_v.weight,Q4_0,4096,4096,32,4,106.392267
19,o_proj,blk.19.attn_output.weight,Q4_0,4096,4096,32,4,109.118490
19,ffn_gate,blk.19.ffn_gate.weight,Q4_0,4096,11008,32,4,287.181641
19,ffn_up,blk.19.ffn_up.weight,Q4_0,4096,11008,32,4,287.904372
19,ffn_down,blk.19.ffn_down.weight,Q4_0,11008,4096,32,4,291.002835
20,q_proj,blk.20.attn_q.weight,Q4_0,4096,4096,32,4,105.907144
20,k_proj,blk.20.attn_k.weight,Q4_0,4096,4096,32,4,107.300079
20,v_proj,blk.20.attn_v.weight,Q4_0,4096,4096,32,4,107.742689
20,o_proj,blk.20.attn_output.weight,Q4_0,4096,4096,32,4,108.609259
20,ffn_gate,blk.20.ffn_gate.weight,Q4_0,4096,11008,32,4,287.971174
20,ffn_up,blk.20.ffn_up.weight,Q4_0,4096,11008,32,4,289.457630
20,ffn_down,blk.20.ffn_down.weight,Q4_0,11008,4096,32,4,288.400752
21,q_proj,blk.21.attn_q.weight,Q4_0,4096,4096,32,4,105.772639
21,k_proj,blk.21.attn_k.weight,Q4_0,4096,4096,32,4,105.611398
21,v_proj,blk.21.attn_v.weight,Q4_0,4096,4096,32,4,107.324246
21,o_proj,blk.21.attn_output.weight,Q4_0,4096,4096,32,4,106.577093
21,ffn_gate,blk.21.ffn_gate.weight,Q4_0,4096,11008,32,4,287.905755
21,ffn_up,blk.21.ffn_up.weight,Q4_0,4096,11008,32,4,285.874891
21,ffn_down,blk.21.ffn_down.weight,Q4_0,11008,4096,32,4,289.913246
