phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,16,8,99.036718
prefill,15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,16,8,98.534949
prefill,15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,16,8,262.404377
prefill,15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,16,8,261.772889
prefill,15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,16,8,300.451631
prefill,16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,16,8,98.580320
prefill,16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,16,8,97.954264
prefill,16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,16,8,98.546422
prefill,16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,16,8,97.908344
prefill,16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,16,8,262.199728
prefill,16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,16,8,261.386212
prefill,16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,16,8,299.355740
prefill,17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,16,8,98.974339
prefill,17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,16,8,98.617280
prefill,17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,16,8,98.879795
prefill,17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,16,8,97.841206
prefill,17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,16,8,261.677841
prefill,17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,16,8,261.428211
prefill,17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,16,8,295.377373
prefill,18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,16,8,98.253364
prefill,18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,16,8,98.015168
prefill,18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,16,8,99.024452
prefill,18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,16,8,97.917103
prefill,18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,16,8,261.818647
prefill,18,ffn_up,blk.18.ffn_up.weight,Q4_0,4096,11008,16,8,262.116291
prefill,18,ffn_down,blk.18.ffn_down.weight,Q4_0,11008,4096,16,8,291.241970
prefill,19,q_proj,blk.19.attn_q.weight,Q4_0,4096,4096,16,8,97.951499
prefill,19,k_proj,blk.19.attn_k.weight,Q4_0,4096,4096,16,8,98.673136
prefill,19,v_proj,blk.19.attn_v.weight,Q4_0,4096,4096,16,8,99.122987
prefill,19,o_proj,blk.19.attn_output.weight,Q4_0,4096,4096,16,8,98.074499
prefill,19,ffn_gate,blk.19.ffn_gate.weight,Q4_0,4096,11008,16,8,261.826849
prefill,19,ffn_up,blk.19.ffn_up.weight,Q4_0,4096,11008,16,8,262.673591
prefill,19,ffn_down,blk.19.ffn_down.weight,Q4_0,11008,4096,16,8,302.350277
prefill,20,q_proj,blk.20.attn_q.weight,Q4_0,4096,4096,16,8,97.830290
prefill,20,k_proj,blk.20.attn_k.weight,Q4_0,4096,4096,16,8,98.718514
prefill,20,v_proj,blk.20.attn_v.weight,Q4_0,4096,4096,16,8,97.903891
prefill,20,o_proj,blk.20.attn_output.weight,Q4_0,4096,4096,16,8,99.238353
prefill,20,ffn_gate,blk.20.ffn_gate.weight,Q4_0,4096,11008,16,8,262.223969
prefill,20,ffn_up,blk.20.ffn_up.weight,Q4_0,4096,11008,16,8,260.943545
prefill,20,ffn_down,blk.20.ffn_down.weight,Q4_0,11008,4096,16,8,293.095001
prefill,21,q_proj,blk.21.attn_q.weight,Q4_0,4096,4096,16,8,98.101132
prefill,21,k_proj,blk.21.attn_k.weight,Q4_0,4096,4096,16,8,99.302392
prefill,21,v_proj,blk.21.attn_v.weight,Q4_0,4096,4096,16,8,99.267116
prefill,21,o_proj,blk.21.attn_output.weight,Q4_0,4096,4096,16,8,98.012384
prefill,21,ffn_gate,blk.21.ffn_gate.weight,Q4_0,4096,11008,16,8,262.739785
prefill,21,ffn_up,blk.21.ffn_up.weight,Q4_0,4096,11008,16,8,261.712372
prefill,21,ffn_down,blk.21.ffn_down.weight,Q4_0,11008,4096,16,8,293.119042
prefill,22,q_proj,blk.22.attn_q.weight,Q4_0,4096,4096,16,8,97.798842
prefill,22,k_proj,blk.22.attn_k.weight,Q4_0,4096,4096,16,8,98.565933
prefill,22,v_proj,blk.22.attn_v.weight,Q4_0,4096,4096,16,8,99.195160
prefill,22,o_proj,blk.22.attn_output.weight,Q4_0,4096,4096,16,8,98.280858
prefill,22,ffn_gate,blk.22.ffn_gate.weight,Q4_0,4096,11008,16,8,261.720592
prefill,22,ffn_up,blk.22.ffn_up.weight,Q4_0,4096,11008,16,8,262.514355
prefill,22,ffn_down,blk.22.ffn_down.weight,Q4_0,11008,4096,16,8,299.003277
prefill,23,q_proj,blk.23.attn_q.weight,Q4_0,4096,4096,16,8,99.198342
prefill,23,k_proj,blk.23.attn_k.weight,Q4_0,4096,4096,16,8,98.130255
prefill,23,v_proj,blk.23.attn_v.weight,Q4_0,4096,4096,16,8,98.188533
prefill,23,o_proj,blk.23.attn_output.weight,Q4_0,4096,4096,16,8,97.911630
prefill,23,ffn_gate,blk.23.ffn_gate.weight,Q4_0,4096,11008,16,8,262.207337
prefill,23,ffn_up,blk.23.ffn_up.weight,Q4_0,4096,11008,16,8,261.895425
prefill,23,ffn_down,blk.23.ffn_down.weight,Q4_0,11008,4096,16,8,297.927635
prefill,24,q_proj,blk.24.attn_q.weight,Q4_0,4096,4096,16,8,98.193538
prefill,24,k_proj,blk.24.attn_k.weight,Q4_0,4096,4096,16,8,98.662369
prefill,24,v_proj,blk.24.attn_v.weight,Q4_0,4096,4096,16,8,98.594944
prefill,24,o_proj,blk.24.attn_output.weight,Q4_0,4096,4096,16,8,98.998706
prefill,24,ffn_gate,blk.24.ffn_gate.weight,Q4_0,4096,11008,16,8,261.212216
prefill,24,ffn_up,blk.24.ffn_up.weight,Q4_0,4096,11008,16,8,261.725207
prefill,24,ffn_down,blk.24.ffn_down.weight,Q4_0,11008,4096,16,8,296.609325
prefill,25,q_proj,blk.25.attn_q.weight,Q4_0,4096,4096,16,8,99.202807
prefill,25,k_proj,blk.25.attn_k.weight,Q4_0,4096,4096,16,8,98.466224
prefill,25,v_proj,blk.25.attn_v.weight,Q4_0,4096,4096,16,8,98.857907
prefill,25,o_proj,blk.25.attn_output.weight,Q4_0,4096,4096,16,8,98.522593
prefill,25,ffn_gate,blk.25.ffn_gate.weight,Q4_0,4096,11008,16,8,262.268603
prefill,25,ffn_up,blk.25.ffn_up.weight,Q4_0,4096,11008,16,8,262.374791
prefill,25,ffn_down,blk.25.ffn_down.weight,Q4_0,11008,4096,16,8,296.883933
prefill,26,q_proj,blk.26.attn_q.weight,Q4_0,4096,4096,16,8,98.724568
prefill,26,k_proj,blk.26.attn_k.weight,Q4_0,4096,4096,16,8,97.871818
prefill,26,v_proj,blk.26.attn_v.weight,Q4_0,4096,4096,16,8,99.789136
prefill,26,o_proj,blk.26.attn_output.weight,Q4_0,4096,4096,16,8,98.691704
prefill,26,ffn_gate,blk.26.ffn_gate.weight,Q4_0,4096,11008,16,8,262.555817
prefill,26,ffn_up,blk.26.ffn_up.weight,Q4_0,4096,11008,16,8,263.177725
prefill,26,ffn_down,blk.26.ffn_down.weight,Q4_0,11008,4096,16,8,299.114272
prefill,27,q_proj,blk.27.attn_q.weight,Q4_0,4096,4096,16,8,98.012569
prefill,27,k_proj,blk.27.attn_k.weight,Q4_0,4096,4096,16,8,98.583554
prefill,27,v_proj,blk.27.attn_v.weight,Q4_0,4096,4096,16,8,99.053251
prefill,27,o_proj,blk.27.attn_output.weight,Q4_0,4096,4096,16,8,97.657937
prefill,27,ffn_gate,blk.27.ffn_gate.weight,Q4_0,4096,11008,16,8,262.082245
prefill,27,ffn_up,blk.27.ffn_up.weight,Q4_0,4096,11008,16,8,263.649058
prefill,27,ffn_down,blk.27.ffn_down.weight,Q4_0,11008,4096,16,8,299.211330
prefill,28,q_proj,blk.28.attn_q.weight,Q4_0,4096,4096,16,8,99.647485
prefill,28,k_proj,blk.28.attn_k.weight,Q4_0,4096,4096,16,8,98.837298
prefill,28,v_proj,blk.28.attn_v.weight,Q4_0,4096,4096,16,8,98.856142
prefill,28,o_proj,blk.28.attn_output.weight,Q4_0,4096,4096,16,8,98.994311
prefill,28,ffn_gate,blk.28.ffn_gate.weight,Q4_0,4096,11008,16,8,262.022324
prefill,28,ffn_up,blk.28.ffn_up.weight,Q4_0,4096,11008,16,8,261.552082
prefill,28,ffn_down,blk.28.ffn_down.weight,Q4_0,11008,4096,16,8,295.645641
prefill,29,q_proj,blk.29.attn_q.weight,Q4_0,4096,4096,16,8,98.282300
prefill,29,k_proj,blk.29.attn_k.weight,Q4_0,4096,4096,16,8,98.717429
prefill,29,v_proj,blk.29.attn_v.weight,Q4_0,4096,4096,16,8,98.715317
prefill,29,o_proj,blk.29.attn_output.weight,Q4_0,4096,4096,16,8,99.404659
prefill,29,ffn_gate,blk.29.ffn_gate.weight,Q4_0,4096,11008,16,8,264.175382
prefill,29,ffn_up,blk.29.ffn_up.weight,Q4_0,4096,11008,16,8,261.260014
prefill,29,ffn_down,blk.29.ffn_down.weight,Q4_0,11008,4096,16,8,296.762975
prefill,30,q_proj,blk.30.attn_q.weight,Q4_0,4096,4096,16,8,97.776022
