phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,32,4,231.719769
prefill,17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,32,4,231.660610
prefill,17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,32,4,231.935353
prefill,17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,32,4,617.976809
prefill,17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,32,4,618.283051
prefill,17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,32,4,631.008253
prefill,18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,32,4,231.832110
prefill,18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,32,4,231.701757
prefill,18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,32,4,231.719379
prefill,18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,32,4,231.808054
prefill,18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,32,4,618.364892
prefill,18,ffn_up,blk.18.ffn_up.weight,Q4_0,4096,11008,32,4,618.328950
prefill,18,ffn_down,blk.18.ffn_down.weight,Q4_0,11008,4096,32,4,631.190113
prefill,19,q_proj,blk.19.attn_q.weight,Q4_0,4096,4096,32,4,231.614756
prefill,19,k_proj,blk.19.attn_k.weight,Q4_0,4096,4096,32,4,231.597883
prefill,19,v_proj,blk.19.attn_v.weight,Q4_0,4096,4096,32,4,231.540638
prefill,19,o_proj,blk.19.attn_output.weight,Q4_0,4096,4096,32,4,231.944720
prefill,19,ffn_gate,blk.19.ffn_gate.weight,Q4_0,4096,11008,32,4,618.339319
prefill,19,ffn_up,blk.19.ffn_up.weight,Q4_0,4096,11008,32,4,618.327177
prefill,19,ffn_down,blk.19.ffn_down.weight,Q4_0,11008,4096,32,4,630.977266
prefill,20,q_proj,blk.20.attn_q.weight,Q4_0,4096,4096,32,4,231.829017
prefill,20,k_proj,blk.20.attn_k.weight,Q4_0,4096,4096,32,4,231.757501
prefill,20,v_proj,blk.20.attn_v.weight,Q4_0,4096,4096,32,4,231.641773
prefill,20,o_proj,blk.20.attn_output.weight,Q4_0,4096,4096,32,4,231.818834
prefill,20,ffn_gate,blk.20.ffn_gate.weight,Q4_0,4096,11008,32,4,618.657750
prefill,20,ffn_up,blk.20.ffn_up.weight,Q4_0,4096,11008,32,4,618.364755
prefill,20,ffn_down,blk.20.ffn_down.weight,Q4_0,11008,4096,32,4,631.139818
prefill,21,q_proj,blk.21.attn_q.weight,Q4_0,4096,4096,32,4,231.686211
prefill,21,k_proj,blk.21.attn_k.weight,Q4_0,4096,4096,32,4,231.477573
prefill,21,v_proj,blk.21.attn_v.weight,Q4_0,4096,4096,32,4,231.685560
prefill,21,o_proj,blk.21.attn_output.weight,Q4_0,4096,4096,32,4,231.986259
prefill,21,ffn_gate,blk.21.ffn_gate.weight,Q4_0,4096,11008,32,4,618.241736
prefill,21,ffn_up,blk.21.ffn_up.weight,Q4_0,4096,11008,32,4,618.059017
prefill,21,ffn_down,blk.21.ffn_down.weight,Q4_0,11008,4096,32,4,630.886214
prefill,22,q_proj,blk.22.attn_q.weight,Q4_0,4096,4096,32,4,231.721498
prefill,22,k_proj,blk.22.attn_k.weight,Q4_0,4096,4096,32,4,231.616811
prefill,22,v_proj,blk.22.attn_v.weight,Q4_0,4096,4096,32,4,232.002943
prefill,22,o_proj,blk.22.attn_output.weight,Q4_0,4096,4096,32,4,231.709384
prefill,22,ffn_gate,blk.22.ffn_gate.weight,Q4_0,4096,11008,32,4,618.209215
prefill,22,ffn_up,blk.22.ffn_up.weight,Q4_0,4096,11008,32,4,618.144613
prefill,22,ffn_down,blk.22.ffn_down.weight,Q4_0,11008,4096,32,4,631.062682
prefill,23,q_proj,blk.23.attn_q.weight,Q4_0,4096,4096,32,4,231.982851
prefill,23,k_proj,blk.23.attn_k.weight,Q4_0,4096,4096,32,4,231.592948
prefill,23,v_proj,blk.23.attn_v.weight,Q4_0,4096,4096,32,4,231.784151
prefill,23,o_proj,blk.23.attn_output.weight,Q4_0,4096,4096,32,4,231.827804
prefill,23,ffn_gate,blk.23.ffn_gate.weight,Q4_0,4096,11008,32,4,618.150795
prefill,23,ffn_up,blk.23.ffn_up.weight,Q4_0,4096,11008,32,4,618.174719
prefill,23,ffn_down,blk.23.ffn_down.weight,Q4_0,11008,4096,32,4,631.130163
prefill,24,q_proj,blk.24.attn_q.weight,Q4_0,4096,4096,32,4,232.145525
prefill,24,k_proj,blk.24.attn_k.weight,Q4_0,4096,4096,32,4,231.783681
prefill,24,v_proj,blk.24.attn_v.weight,Q4_0,4096,4096,32,4,231.779493
prefill,24,o_proj,blk.24.attn_output.weight,Q4_0,4096,4096,32,4,231.938098
prefill,24,ffn_gate,blk.24.ffn_gate.weight,Q4_0,4096,11008,32,4,618.720025
prefill,24,ffn_up,blk.24.ffn_up.weight,Q4_0,4096,11008,32,4,618.339491
prefill,24,ffn_down,blk.24.ffn_down.weight,Q4_0,11008,4096,32,4,631.304563
prefill,25,q_proj,blk.25.attn_q.weight,Q4_0,4096,4096,32,4,232.028709
prefill,25,k_proj,blk.25.attn_k.weight,Q4_0,4096,4096,32,4,231.727159
prefill,25,v_proj,blk.25.attn_v.weight,Q4_0,4096,4096,32,4,231.671614
prefill,25,o_proj,blk.25.attn_output.weight,Q4_0,4096,4096,32,4,231.927541
prefill,25,ffn_gate,blk.25.ffn_gate.weight,Q4_0,4096,11008,32,4,618.278890
prefill,25,ffn_up,blk.25.ffn_up.weight,Q4_0,4096,11008,32,4,617.998856
prefill,25,ffn_down,blk.25.ffn_down.weight,Q4_0,11008,4096,32,4,631.352763
prefill,26,q_proj,blk.26.attn_q.weight,Q4_0,4096,4096,32,4,232.304537
prefill,26,k_proj,blk.26.attn_k.weight,Q4_0,4096,4096,32,4,231.521163
prefill,26,v_proj,blk.26.attn_v.weight,Q4_0,4096,4096,32,4,231.656667
prefill,26,o_proj,blk.26.attn_output.weight,Q4_0,4096,4096,32,4,231.629898
prefill,26,ffn_gate,blk.26.ffn_gate.weight,Q4_0,4096,11008,32,4,618.301269
prefill,26,ffn_up,blk.26.ffn_up.weight,Q4_0,4096,11008,32,4,619.314454
prefill,26,ffn_down,blk.26.ffn_down.weight,Q4_0,11008,4096,32,4,631.724114
prefill,27,q_proj,blk.27.attn_q.weight,Q4_0,4096,4096,32,4,232.034741
prefill,27,k_proj,blk.27.attn_k.weight,Q4_0,4096,4096,32,4,231.961005
prefill,27,v_proj,blk.27.attn_v.weight,Q4_0,4096,4096,32,4,231.819352
prefill,27,o_proj,blk.27.attn_output.weight,Q4_0,4096,4096,32,4,232.089253
prefill,27,ffn_gate,blk.27.ffn_gate.weight,Q4_0,4096,11008,32,4,618.498995
prefill,27,ffn_up,blk.27.ffn_up.weight,Q4_0,4096,11008,32,4,618.365658
prefill,27,ffn_down,blk.27.ffn_down.weight,Q4_0,11008,4096,32,4,630.991411
prefill,28,q_proj,blk.28.attn_q.weight,Q4_0,4096,4096,32,4,231.712171
prefill,28,k_proj,blk.28.attn_k.weight,Q4_0,4096,4096,32,4,231.803412
prefill,28,v_proj,blk.28.attn_v.weight,Q4_0,4096,4096,32,4,231.918686
prefill,28,o_proj,blk.28.attn_output.weight,Q4_0,4096,4096,32,4,231.963969
prefill,28,ffn_gate,blk.28.ffn_gate.weight,Q4_0,4096,11008,32,4,618.785213
prefill,28,ffn_up,blk.28.ffn_up.weight,Q4_0,4096,11008,32,4,618.022680
prefill,28,ffn_down,blk.28.ffn_down.weight,Q4_0,11008,4096,32,4,631.330739
prefill,29,q_proj,blk.29.attn_q.weight,Q4_0,4096,4096,32,4,231.717491
prefill,29,k_proj,blk.29.attn_k.weight,Q4_0,4096,4096,32,4,231.526585
prefill,29,v_proj,blk.29.attn_v.weight,Q4_0,4096,4096,32,4,231.653230
prefill,29,o_proj,blk.29.attn_output.weight,Q4_0,4096,4096,32,4,231.825650
prefill,29,ffn_gate,blk.29.ffn_gate.weight,Q4_0,4096,11008,32,4,618.824734
prefill,29,ffn_up,blk.29.ffn_up.weight,Q4_0,4096,11008,32,4,618.260066
prefill,29,ffn_down,blk.29.ffn_down.weight,Q4_0,11008,4096,32,4,631.431220
prefill,30,q_proj,blk.30.attn_q.weight,Q4_0,4096,4096,32,4,231.848211
prefill,30,k_proj,blk.30.attn_k.weight,Q4_0,4096,4096,32,4,231.798108
prefill,30,v_proj,blk.30.attn_v.weight,Q4_0,4096,4096,32,4,231.746041
